本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码
2067197445504102400,2067195967936964608,2066899863253573632,a1760356615,2026-06-17 06:41:40,1,USDT,0,2026-06-17 06:41:40,-1,Mahjong Ways,PG,1
2067197445902561280,2067195970352962560,2066899863253573632,a1760356615,2026-06-17 06:41:40,1,USDT,1,2026-06-17 06:41:42,0,Mahjong Ways,PG,1
2067197446892417024,2067195987214009856,2066899863253573632,a1760356615,2026-06-17 06:41:44,1,USDT,0,2026-06-17 06:41:44,-1,Mahjong Ways,PG,1
2067197444807847936,2067195990284178945,2066899863253573632,a1760356615,2026-06-17 06:41:45,1,USDT,0,2026-06-17 06:41:45,-1,Mahjong Ways,PG,1
2067197444904316928,2067195992956004352,2066899863253573632,a1760356615,2026-06-17 06:41:45,1,USDT,0,2026-06-17 06:41:46,-1,Mahjong Ways,PG,1
2067197445999030272,2067195995535562752,2066899863253573632,a1760356615,2026-06-17 06:41:46,1,USDT,0.5,2026-06-17 06:41:48,-0.5,Mahjong Ways,PG,1
2067197446099693568,2067196013055153152,2066899863253573632,a1760356615,2026-06-17 06:41:50,1,USDT,2.3,2026-06-17 06:41:54,1.3,Mahjong Ways,PG,1
2067197446200356864,2067196038006967808,2066899863253573632,a1760356615,2026-06-17 06:41:56,1,USDT,0,2026-06-17 06:41:56,-1,Mahjong Ways,PG,1
2067197446988886016,2067196040565588993,2066899863253573632,a1760356615,2026-06-17 06:41:57,1,USDT,0,2026-06-17 06:41:57,-1,Mahjong Ways,PG,1
2067197447106326528,2067196043132503552,2066899863253573632,a1760356615,2026-06-17 06:41:57,1,USDT,0,2026-06-17 06:41:58,-1,Mahjong Ways,PG,1
